name,disclaimer,description,claim_title,claim_description,claim_reference
Fish Oil,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s can come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, walnuts, flaxseed, and canola are good sources of omega-3s. Many Americans don’t get enough of these foods, and therefore don’t get enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain. ",Heart,"Omega-3 from fish oil has been extensively researched for its benefits on the heart, with studies performed to assess its effects on  cardiovascular disease, cholesterol and hypertension. In fact, the American Heart Association recommends eating fish, particularly fatty fish, at least two times per week. Fatty fish like salmon, mackerel, herring, lake trout, sardines and albacore tuna are high in omega-3 fatty acids. For more information about the research on omega-3 fatty acids for heart health, please see the links below:http://www.ncbi.nlm.nih.gov/pubmed/18316000https://ods.od.nih.gov/factsheets/Omega3FattyAcidsandHealth-HealthProfessional/http://www.heart.org/HEARTORG/HealthyLiving/HealthyEating/HealthyDietGoals/Fish-and-Omega-3-Fatty-Acids_UCM_303248_Article.jsp#.WCSVeOErKi5https://ods.od.nih.gov/factsheets/list-all/Omega3/
","[<li class=""reference"" data-id=""omega-3-cardiovascular-mayo-clinic-2008""><div class=""reference__title"">Omega-3 fatty acids for cardioprotection.</div><div class=""reference__authors"">Lee JH, O'Keefe JH, Lavie CJ, Marchioli R, Harris WS., </div><div class=""reference__journal"">Mayo clinic proceedings, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""fishoil-aha-2015-heart""><div class=""reference__title"">Fish and Omega-3 Fatty Acids</div><div class=""reference__authors"">American Heart Association®, </div><div class=""reference__journal"">American Heart Association®, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""omega-3-NIH-Overview""><div class=""reference__title"">Omega-3 Fatty Acids</div><div class=""reference__authors"">Office of Dietary Supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Smoking,Smoking has been known to have a negative effect on the immune system and can alter omega-3 fatty acid concentration. One study showed that smokers have lower concentrations of DHA than non-smokers. It’s therefore especially beneficial for smokers to supplement with fish oil. ,"[<li class=""reference"" data-id=""DHA-smokers-2016-European-Addiction-Research""><div class=""reference__title"">Omega-3 Levels and Nicotine Dependence: A Cross-Sectional Study and Clinical Trial</div><div class=""reference__authors"">Zaparoli JX, Sugawara EK, de Souza AA, Tufik S, Galduróz JC., </div><div class=""reference__journal"">European addiction research, </div><div class=""reference__year"">2016</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Heart,Supportive but not conclusive research shows that consumption of EPA and DHA omega-3 fatty acids may reduce the risk of coronary heart disease. One softgel of Algae omega provides 270mg of EPA and DHA omega-3 fatty acids.,"[<li class=""reference"" data-id=""omega-3-fda-news-release-2004""><div class=""reference__title"">FDA Announces Qualified Health Claims for Omega-3 Fatty Acids</div><div class=""reference__authors"">Federal Drug Administration, </div><div class=""reference__journal"">FDA News Release, </div><div class=""reference__year"">2004</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Joints,"Fish oil has shown initial promising results as an ingredient for joint health. A 12 month, double-blind, placebo-controlled study found that patients taking 2,600mg of omega-3 per day experienced less joint pain than those taking a placebo. Patients also reported less use of concomitant antirheumatic medications during the period of fish oil supplementation.An in-vitro study in 2000 examined the molecular mechanisms by which omega-3s can affect inflammatory markers in cartilage. The study found that omega-3 fatty acids create a reduction in the expression and activity of aggrecanases, proteoglycan-degrading enzymes, the expression of inflammation-inducible cytokines interleukin (IL)-1alpha and tumor necrosis factor (TNF)-alpha, and cyclooxygenase (COX-2), but not the constitutively expressed cyclooxygenase COX-1.
","[<li class=""reference"" data-id=""omega-3-joint-rheumatism-1994""><div class=""reference__title"">Long-term effect of omega-3 fatty acid supplementation in active rheumatoid arthritis. A 12-month, double-blind, controlled study.</div><div class=""reference__authors"">Geusens P, Wouters C, Nijs J, Jiang Y, Dequeker J., </div><div class=""reference__journal"">Arthritis and Rheumatism, </div><div class=""reference__year"">1994</div></li>, <li class=""reference"" data-id=""omega-3-arthritis-biological-chemistry-2000""><div class=""reference__title"">n-3 fatty acids specifically modulate catabolic factors involved in articular cartilage degradation.</div><div class=""reference__authors"">Curtis CL, Hughes CE, Flannery CR, Little CB, Harwood JL, Caterson B., </div><div class=""reference__journal"">The Journal of Biological Chemistry, </div><div class=""reference__year"">2000</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Eat more fish,"The American Heart Association recommends people eat two servings of fish per week due to its beneficial omega-3 fatty acids. If you are don’t often eat fish, supplementation may be beneficial to you. ","[<li class=""reference"" data-id=""fishoil-aha-2015-heart""><div class=""reference__title"">Fish and Omega-3 Fatty Acids</div><div class=""reference__authors"">American Heart Association®, </div><div class=""reference__journal"">American Heart Association®, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""fish-oil-seafood-health-facts-2016""><div class=""reference__title"">Omega-3 Content of Frequently Consumed Seafood Products</div><div class=""reference__authors"">Seafood Health Facts, </div><div class=""reference__journal"">Seafood Health Facts (website), </div><div class=""reference__year"">2016</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Brain,"There has been a lot of research on omega-3 fatty acids and EPA or DHA separately for its effect on cognitive performance. There have been mixed reviews on whether both EPA and DHA are beneficial. We reference some positive evidence for omega-3’s and cognitive health here; however, the clinical and observational results are mixed.485 healthy subjects were enrolled in a randomized, double-blind, placebo-controlled study. They were given 900mg of DHA or a placebo and performed Paired Associate Learning (PAL), visuospatial learning, and episodic memory tests. At 24 weeks, the DHA group performed better on the PAL test, and DHA supplementation was also associated with improved immediate and delayed verbal recognition memory scores. However, DHA did not improve working memory or executive function. Plasma DHA levels doubled in the DHA group.Another study used a computerized cognitive test to assess the cognitive performance of a DHA group vs a placebo group. This study found improvements in reaction time of episodic and working memory in the DHA group.In a 2005 clinical study, omega-3 supplementation was associated with an improvement in attention and mood for the omega-3 group versus the placebo group. A population-based study performed a year earlier found that people who consumed more fish in their diet performed better on cognitive battery tests.The effects of omega-3 fatty acids have also been studied for children. Two groups of children with ADHD were randomly assigned EPA or a placebo for 15 weeks in a clinical study. Teachers reported better behavior in the EPA group, but parents did not. Children with lower serum EPA concentrations at baseline showed better response to treatment.Residents 65 years or older were recruited for a prospective cohort study. Cognitive assessment tests were performed three times over six years. Fish intake was associated with a slower rate of cognitive decline. In fact, people who ate two or more servings of fish per week were found to have a 13% slower cognitive decline.Plasma levels of EPA and DHA were studied to predict atrophy in the medial temporal lobe gray matter regions in 281 subjects aged 65 or older. Plasma fatty acid levels were reviewed at baseline and again four years later. The study concluded that higher plasma EPA, but not DHA, was associated with lower gray matter atrophy of the right hippocampal/parahippocampal area and of the right amygdala.In a 2012 study, a group of 1,575 dementia-free patients were reviewed for their red blood cell fatty acid levels. Participants in the lowest quartile of red blood cell DHA levels had smaller brain volume and greater white matter hyperintensity volume. Participants with lower DHA also had lower scores on tests of visual memory, executive function and abstract thinking models.Similar results were found in another study of serum phospholipid levels. Higher DHA levels were associated with better performance on tests of nonverbal reasoning, and improved mental flexibility, working memory, and vocabulary on neuropsychological tests. EPA and ALA levels did not show any effect on cognitive performance.A 2008 clinical study assessed the effect of omega-3 on patients with Alzheimer’s disease and patients with mild cognitive impairment. 1,800mg of omega-3 from fish oil elicited cognitive improvements in patients with mild cognitive impairment, but no benefit was found for the Alzheimer’s patients. Higher proportions of EPA were also associated with better cognitive performance. 

 

","[<li class=""reference"" data-id=""DHA-cognitive-health-alzheimers-2010""><div class=""reference__title"">Beneficial effects of docosahexaenoic acid on cognition in age-related cognitive decline.</div><div class=""reference__authors"">Yurko-Mauro K, McCarthy D, Rom D, Nelson EB, Ryan AS, Blackwell A, Salem N Jr, Stedman M; MIDAS Investigators., </div><div class=""reference__journal"">Alzheimer's &amp; dementia: the journal of the alzheimer's association., </div><div class=""reference__year"">2010</div></li>, <li class=""reference"" data-id=""omega-3-cognitive-2005-EJCI""><div class=""reference__title"">Cognitive and physiological effects of Omega-3 polyunsaturated fatty acid supplementation in healthy subjects.</div><div class=""reference__authors"">Fontani G, Corradeschi F, Felici A, Alfatti F, Migliorini S, Lodi L., </div><div class=""reference__journal"">European journal of clinical investigation, </div><div class=""reference__year"">2005</div></li>, <li class=""reference"" data-id=""DHA-memory-AJCN-2013""><div class=""reference__title"">DHA supplementation improved both memory and reaction time in healthy young adults: a randomized controlled trial</div><div class=""reference__authors"">Stonehouse W, Conlon CA, Podd J, Hill SR, Minihane AM, Haskell C, and Kennedy D., </div><div class=""reference__journal"">The American Journal of Clinical Nutrition, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""omega-3-cognitive-neurology-2004""><div class=""reference__title"">Dietary intake of fatty acids and fish in relation to cognitive performance at middle age</div><div class=""reference__authors"">Kalmijn S, van Boxtel MP, Ocké M, Verschuren WM, Kromhout D, Launer LJ., </div><div class=""reference__journal"">Neurology, </div><div class=""reference__year"">2004</div></li>, <li class=""reference"" data-id=""EPA-ADHD-paediatrica-2010""><div class=""reference__title"">EPA supplementation improves teacher-rated behaviour and oppositional symptoms in children with ADHD.</div><div class=""reference__authors"">Gustafsson PA, Birberg-Thornberg U, Duchén K, Landgren M, Malmberg K, Pelling H, Strandvik B, Karlsson T., </div><div class=""reference__journal"">Acta Paediatrica, </div><div class=""reference__year"">2010</div></li>, <li class=""reference"" data-id=""Fish-cognitive-2005-archives-of-neurology""><div class=""reference__title"">Fish consumption and cognitive decline with age in a large community study.</div><div class=""reference__authors"">Morris MC, Evans DA, Tangney CC, Bienias JL, Wilson RS., </div><div class=""reference__journal"">Archives of neurology, </div><div class=""reference__year"">2005</div></li>, <li class=""reference"" data-id=""EPA-Alzheimer-neurology-2012""><div class=""reference__title"">Plasma long-chain omega-3 fatty acids and atrophy of the medial temporal lobe.</div><div class=""reference__authors"">Samieri C, Maillard P, Crivello F, Proust-Lima C, Peuchant E, Helmer C, Amieva H, Allard M, Dartigues JF, Cunnane SC, Mazoyer BM, Barberger-Gateau P., </div><div class=""reference__journal"">Neurology, </div><div class=""reference__year"">2012</div></li>, <li class=""reference"" data-id=""DHA-red-blood-cell-neurology-2012""><div class=""reference__title"">Red blood cell ω-3 fatty acid levels and markers of accelerated brain aging.
</div><div class=""reference__authors"">Tan ZS, Harris WS, Beiser AS, Au R, Himali JJ, Debette S, Pikula A, Decarli C, Wolf PA, Vasan RS, Robins SJ, Seshadri S., </div><div class=""reference__journal"">Neurology, </div><div class=""reference__year"">2012</div></li>, <li class=""reference"" data-id=""DHA-brain-health-journal-of-nutrition-2010""><div class=""reference__title"">Serum phospholipid docosahexaenonic acid is associated with cognitive functioning during middle adulthood.</div><div class=""reference__authors"">Muldoon MF, Ryan CM, Sheu L, Yao JK, Conklin SM, Manuck SB., </div><div class=""reference__journal"">The journal of nutrition, </div><div class=""reference__year"">2010</div></li>, <li class=""reference"" data-id=""EPA-cognitive-2008-neuro-psychopharmacology""><div class=""reference__title"">The effects of omega-3 fatty acids monotherapy in Alzheimer's disease and mild cognitive impairment: a preliminary randomized double-blind placebo-controlled study.</div><div class=""reference__authors"">Chiu CC, Su KP, Cheng TC, Liu HC, Chang CJ, Dewey ME, Stewart R, Huang SY., </div><div class=""reference__journal"">Progress in neuro-psychopharmacology and biological psychiatry, </div><div class=""reference__year"">2008</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Eye,"Studies on omega-3 for eye health are emerging, with more research activity in the past ten years. Some research has focused on people with recent cataract surgery. A 2016 study found that patients who supplemented with omega-3 fatty acids from fish oil experienced less dry eye symptoms after cataract surgery.Another study on dry-eye syndrome was developed for healthy individuals who use the computer for 3+ hours per day. This study demonstrated the beneficial effect of omega-3 fatty acids in alleviating dry eye symptoms, decreasing tear evaporation rate in patients suffering from computer related dry eye. A clinical study carried out by the American Academy of Ophthalmology also demonstrated that omega-3 supplementation is associated with a decrease in the rate of tear evaporation, an improvement in dry eye symptoms, and an increase in tear secretion.518 patients with dry eye symptoms were enrolled in a 2013 study. 65% of patients in the omega-3 group and 33% of patients in placebo group had significant improvement in symptoms at 3 months.The US Twin study of Age-Related Macular Degeneration was done to determine genetic and environmental risk factors for age-related macular degeneration. 681 twins were surveyed for food diaries and risk-factor questionnaires and given eye examinations. Smokers had almost double the risk of macular degeneration compared to non-smokers, and increased intake of fish reduced the risk of macular degeneration.","[<li class=""reference"" data-id=""omega-3-dry-eye-ophthamology-2016""><div class=""reference__title"">Effects of adjuvant omega-3 fatty acid supplementation on dry eye syndrome following cataract surgery: A randomized clinical trial</div><div class=""reference__authors"">Mohammadpour M, Mehrabi S, Hassanpoor N, Mirshahi R., </div><div class=""reference__journal"">Journal of Current Ophthalmology, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""omega-3-computer-2015-contact-lens""><div class=""reference__title"">Oral omega-3 fatty acids treatment in computer vision syndrome related dry eye.</div><div class=""reference__authors"">Bhargava R, Kumar P, Phogat H, Kaur A, Kumar M., </div><div class=""reference__journal"">Contact lens &amp; anterior eye, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""omega-3-tear-evaporation-2013-ophthalmology""><div class=""reference__title"">Short-term Consumption of Oral Omega-3 and Dry Eye Syndrome</div><div class=""reference__authors"">Kangari H, Eftekhari MH, Sardari S, Hashemi H, Salamzadeh J, Ghassemi-Broumand M, Khabazkhoob M., </div><div class=""reference__journal"">Ophthalmology, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""omega-3-dry-eye-2013-IJO""><div class=""reference__title"">A randomized controlled trial of omega-3 fatty acids in dry eye syndrome</div><div class=""reference__authors"">Bhargava R, Kumar P, Kumar M, Mehra N and Mishra A, </div><div class=""reference__journal"">International journal of ophthalmology, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""omega-3-smoking-eye-ophthalmology-2006""><div class=""reference__title"">Cigarette smoking, fish consumption, omega-3 fatty acid intake, and associations with age-related macular degeneration: the US Twin Study of Age-Related Macular Degeneration.</div><div class=""reference__authors"">Seddon JM, George S, Rosner B., </div><div class=""reference__journal"">JAMA Ophthalmology, </div><div class=""reference__year"">2006</div></li>]"
Veggie Omega,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Omega-3 fatty acids are beneficial for health and can only be obtained through our diets - they cannot be produced by the human body. Omega-3’s come in several forms; the most common ones are EPA, DHA and ALA. Fatty fish, algae, walnuts, flaxseed, and canola are good sources of omega-3. Many Americans don’t get enough of these foods, and therefore don’t have enough omega-3 circulating in their blood and brain. Omega-3s have been researched to show benefits for heart health, immune and inflammatory responses, metabolism, and the health of skin, hair, nervous system, joints, eyes, and brain.",Heart,"Omega-3 from fish oil has been extensively researched for its benefits on the heart, with studies performed to assess its effects on  cardiovascular disease, cholesterol and hypertension. In fact, the American Heart Association recommends eating fish, particularly fatty fish, at least two times per week. Fatty fish like salmon, mackerel, herring, lake trout, sardines and albacore tuna are high in omega-3 fatty acids. For more information about the research on omega-3 fatty acids for heart health, please see the links below:http://www.ncbi.nlm.nih.gov/pubmed/18316000https://ods.od.nih.gov/factsheets/Omega3FattyAcidsandHealth-HealthProfessional/http://www.heart.org/HEARTORG/HealthyLiving/HealthyEating/HealthyDietGoals/Fish-and-Omega-3-Fatty-Acids_UCM_303248_Article.jsp#.WCSVeOErKi5https://ods.od.nih.gov/factsheets/list-all/Omega3/
","[<li class=""reference"" data-id=""omega-3-cardiovascular-mayo-clinic-2008""><div class=""reference__title"">Omega-3 fatty acids for cardioprotection.</div><div class=""reference__authors"">Lee JH, O'Keefe JH, Lavie CJ, Marchioli R, Harris WS., </div><div class=""reference__journal"">Mayo clinic proceedings, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""fishoil-aha-2015-heart""><div class=""reference__title"">Fish and Omega-3 Fatty Acids</div><div class=""reference__authors"">American Heart Association®, </div><div class=""reference__journal"">American Heart Association®, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""omega-3-NIH-Overview""><div class=""reference__title"">Omega-3 Fatty Acids</div><div class=""reference__authors"">Office of Dietary Supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
Astaxanthin,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Astaxanthin is produced by algae, fungi, and bacteria. Humans do not produce astaxanthin but we get some in our diet when we eat seafood. Crabs, lobsters, salmon, shrimp and other sea creatures owe their red or pinkish color to astaxanthin. The green microalgae Haematococcus pluvialis is considered to be the richest source of astaxanthin. This phytonutrient is available in both natural and synthetic forms, but the synthetic version has not been proven to be efficacious or safe. ",Skin/Anti-Aging,"A double-blind, placebo-controlled study assigned 66 subjects to three groups: group 1 was a placebo group; group 2 received astaxanthin, vitamin C, and vitamin E; and group 3 received vitamin C and vitamin E. The patient's’ skin was reviewed at 4 weeks, 8 weeks, 12 weeks and 20 weeks. Ocular inspection from skin photographs and 3 dimensional images of replicas and wrinkle values, measuring wrinkle areas and wrinkle volume rates revealed significant improvements in the astaxanthin group compared to the other groups.An in-vitro study exposed human dermal fibroblasts (HDF) to moderate doses of UVA light. The fibroblasts were given one of three antioxidants: astaxanthin, canthaxanthin, or beta-carotene. Astaxanthin showed reductions in apoptosis, or cell death and decreases in levels of markers for oxidative stress. Astaxanthin also increased antioxidant enzyme activities. This shows that astaxanthin may reduce oxidative damage on human skin.A mouse study published in 2017 found that astaxanthin supplementation suppressed photoaging features such as transdermal water loss and wrinkle formation in mice exposed to ultraviolet light. ","[<li class=""reference"" data-id=""Astaxanthin-skinaging-JichiMedical""><div class=""reference__title"">Anti-aging and functional improvement effects for the skin by functional foods intakes: clinical effects on skin by oral ingestion of preparations containing Astaxanthin and Vitamins C and E.</div><div class=""reference__authors"">Suganuma K,  Shiobara M , Sato Y, Nakanuma  C, Maekawa T,  Ohtsuki M, Yazawa  K, Imokawa  G, </div><div class=""reference__journal"">Jichi Medical University Journal, </div><div class=""reference__year"">2012</div></li>, <li class=""reference"" data-id=""Astaxanthin-skin-photo-oxidative""><div class=""reference__title"">Astaxanthin, canthaxanthin and b-carotene differently affect UVA-induced oxidative damage and expression of oxidative stress-responsive enzymes</div><div class=""reference__authors"">Camera E, Mastrofrancesco A, Fabbri C, Daubrawa F, Picardo M, Sies H and Stahl W, </div><div class=""reference__journal"">Experimental Dermatology, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""astaxanthin-skin-mouse-2017-PLoSOne""><div class=""reference__title"">Preventive effect of dietary astaxanthin on UVA-induced skin photoaging in hairless mice.
</div><div class=""reference__authors"">Komatsu T, Sasaki S, Manabe Y, Hirata T, Sugawara T., </div><div class=""reference__journal"">PLoS One, </div><div class=""reference__year"">2017</div></li>]"
Astaxanthin,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Astaxanthin is produced by algae, fungi, and bacteria. Humans do not produce astaxanthin but we get some in our diet when we eat seafood. Crabs, lobsters, salmon, shrimp and other sea creatures owe their red or pinkish color to astaxanthin. The green microalgae Haematococcus pluvialis is considered to be the richest source of astaxanthin. This phytonutrient is available in both natural and synthetic forms, but the synthetic version has not been proven to be efficacious or safe. ",Brain,"In 2012, a randomized, double-blind, placebo-controlled study found that astaxanthin improved patients’ performance on the Groton Maze Learning Test  and the CogHealth Battery Test when they took astaxanthin compared to a group taking a placebo. A 2005 animal study also found astaxanthin to have neuroprotective effects in ischemic mice. ","[<li class=""reference"" data-id=""Astaxanthin-neuroprotective-mousestudy""><div class=""reference__title"">Antihypertensive and Neuroprotective Effects of Astaxanthin in Experimental Animals</div><div class=""reference__authors"">Hussein G, Nakamura M,  Zhao Q, Iguchi T, Goto H,  Sankawa U, and Watanabe H., </div><div class=""reference__journal"">Biological &amp; Pharmaceutical Bulletin, </div><div class=""reference__year"">2005</div></li>, <li class=""reference"" data-id=""Astaxanthin-cognitive-JCBM-2012""><div class=""reference__title"">Effects of astaxanthin-rich Haematococcus pluvialis extract on cognitive function - a randomised, double-blind, placebo-controlled study</div><div class=""reference__authors"">Katagiri M, Satoh A, Tsuji S and Shirasawa T., </div><div class=""reference__journal"">Journal of clinical biochemistry and nutrition, </div><div class=""reference__year"">2012</div></li>]"
Astaxanthin,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Astaxanthin is produced by algae, fungi, and bacteria. Humans do not produce astaxanthin but we get some in our diet when we eat seafood. Crabs, lobsters, salmon, shrimp and other sea creatures owe their red or pinkish color to astaxanthin. The green microalgae Haematococcus pluvialis is considered to be the richest source of astaxanthin. This phytonutrient is available in both natural and synthetic forms, but the synthetic version has not been proven to be efficacious or safe. ",Heart,"Astaxanthin has been studied for its protective heart benefits in animal studies and human studies. In an animal study (referenced above), astaxanthin was found to lower blood pressure in stroke-prone mice.A human study on 27 overweight subjects found that astaxanthin lowers LDL cholesterol and apolipoprotein B, but astaxanthin did not affect triglycerides, HDL cholesterol or apolipoprotein A1. Another study on 15 healthy post-menopausal women showed an increase in HDL cholesterol for women taking astaxanthin, but no change to LDL or triglycerides.A randomized, double-blind, placebo-controlled study of 61 non-obese subjects showed reduced triglyceride levels and increased HDL cholesterol for the astaxanthin group, while showing no improvement in BMI or LDL cholesterol. ","[<li class=""reference"" data-id=""Astaxanthin-neuroprotective-mousestudy""><div class=""reference__title"">Antihypertensive and Neuroprotective Effects of Astaxanthin in Experimental Animals</div><div class=""reference__authors"">Hussein G, Nakamura M,  Zhao Q, Iguchi T, Goto H,  Sankawa U, and Watanabe H., </div><div class=""reference__journal"">Biological &amp; Pharmaceutical Bulletin, </div><div class=""reference__year"">2005</div></li>, <li class=""reference"" data-id=""Astaxanthin-lipids-overweight-2011""><div class=""reference__title"">Positive effects of astaxanthin on lipid profiles and oxidative stress in overweight subjects</div><div class=""reference__authors"">Choi HD, Youn YK, Shin WG., </div><div class=""reference__journal"">Plant Foods for Human Nutrition, </div><div class=""reference__year"">2011</div></li>, <li class=""reference"" data-id=""Astaxanthin-cardiovascular-postmenopausal-women""><div class=""reference__title"">The effects of Astaxanthin supplements on lipid peroxidation and antioxidant status in post-menopausal women</div><div class=""reference__authors"">Kim YK, Chyun, JH., </div><div class=""reference__journal"">The Korean Nutrition Society, </div><div class=""reference__year"">2004</div></li>, <li class=""reference"" data-id=""astaxanthin-cholesterol-triglyceride""><div class=""reference__title"">Administration of natural astaxanthin increases serum HDL-cholesterol and adiponectin in subjects with mild hyperlipidemia</div><div class=""reference__authors"">Yoshida H, Yanai H, Ito K, Tomono Y, Koikeda T, Tsukahara H, Tada N., </div><div class=""reference__journal"">Atherosclorosis, </div><div class=""reference__year"">2009</div></li>]"
